size, Fall Factor,hits, misses, hitRatio, missRatio, executionTime,
3, 0.9,1186, 8789, 0.1186, 0.8789, 10015,
4, 0.9,1564, 8411, 0.1564, 0.8411, 10006,
5, 0.9,1966, 8009, 0.1966, 0.8009, 8996,
6, 0.9,2384, 7591, 0.2384, 0.7591, 11005,
7, 0.9,2776, 7199, 0.2776, 0.7199, 9001,
8, 0.9,3195, 6780, 0.3195, 0.678, 9998,
9, 0.9,3589, 6386, 0.3589, 0.6386, 8968,
10, 0.9,3985, 5990, 0.3985, 0.599, 9027,
11, 0.9,4387, 5588, 0.4387, 0.5588, 8997,
12, 0.9,4791, 5184, 0.4791, 0.5184, 8003,
13, 0.9,5194, 4781, 0.5194, 0.4781, 9008,
14, 0.9,5600, 4375, 0.56, 0.4375, 8031,
15, 0.9,6006, 3969, 0.6006, 0.3969, 8001,
16, 0.9,6366, 3609, 0.6366, 0.3609, 9000,
17, 0.9,6788, 3187, 0.6788, 0.3187, 6967,
18, 0.9,7190, 2785, 0.719, 0.2785, 7032,
19, 0.9,7611, 2364, 0.7611, 0.2364, 7000,
20, 0.9,7985, 1990, 0.7985, 0.199, 7983,
21, 0.9,8383, 1592, 0.8383, 0.1592, 6018,
22, 0.9,8792, 1183, 0.8792, 0.1183, 6994,
23, 0.9,9178, 797, 0.9178, 0.0797, 7010,
24, 0.9,9542, 433, 0.9542, 0.0433, 5996,
25, 0.9,9975, 0, 0.9975, 0, 4999,
26, 0.9,9975, 0, 0.9975, 0, 5000,
27, 0.9,9975, 0, 0.9975, 0, 6006,
28, 0.9,9975, 0, 0.9975, 0, 5997,
29, 0.9,9975, 0, 0.9975, 0, 5000,
30, 0.9,9975, 0, 0.9975, 0, 5993,
31, 0.9,9975, 0, 0.9975, 0, 6005,
32, 0.9,9975, 0, 0.9975, 0, 4967,
33, 0.9,9975, 0, 0.9975, 0, 5002,
34, 0.9,9975, 0, 0.9975, 0, 4995,
35, 0.9,9975, 0, 0.9975, 0, 5000,
36, 0.9,9975, 0, 0.9975, 0, 5002,
37, 0.9,9975, 0, 0.9975, 0, 6001,
38, 0.9,9975, 0, 0.9975, 0, 7999,
39, 0.9,9975, 0, 0.9975, 0, 5002,
40, 0.9,9975, 0, 0.9975, 0, 6999,
41, 0.9,9975, 0, 0.9975, 0, 4999,
42, 0.9,9975, 0, 0.9975, 0, 5003,
43, 0.9,9975, 0, 0.9975, 0, 5991,
44, 0.9,9975, 0, 0.9975, 0, 5003,
45, 0.9,9975, 0, 0.9975, 0, 6003,
46, 0.9,9975, 0, 0.9975, 0, 5998,
47, 0.9,9975, 0, 0.9975, 0, 5961,
48, 0.9,9975, 0, 0.9975, 0, 6001,
49, 0.9,9975, 0, 0.9975, 0, 5999,
