size, Fall Factor,hits, misses, hitRatio, missRatio, executionTime,
3, 0.9,7724, 2189, 0.7724, 0.2189, 8033,
4, 0.9,8146, 1767, 0.8146, 0.1767, 4919,
5, 0.9,8426, 1487, 0.8426, 0.1487, 4036,
6, 0.9,8639, 1274, 0.8639, 0.1274, 4000,
7, 0.9,8785, 1128, 0.8785, 0.1128, 7995,
8, 0.9,8923, 990, 0.8923, 0.099, 3975,
9, 0.9,9038, 875, 0.9038, 0.0875, 8042,
10, 0.9,9137, 776, 0.9137, 0.0776, 3991,
11, 0.9,9223, 690, 0.9223, 0.069, 3997,
12, 0.9,9286, 627, 0.9286, 0.0627, 4001,
13, 0.9,9342, 571, 0.9342, 0.0571, 8004,
14, 0.9,9388, 525, 0.9388, 0.0525, 3995,
15, 0.9,9424, 489, 0.9424, 0.0489, 3994,
16, 0.9,9462, 451, 0.9462, 0.0451, 4009,
17, 0.9,9499, 414, 0.9499, 0.0414, 3990,
18, 0.9,9531, 382, 0.9531, 0.0382, 3997,
19, 0.9,9560, 353, 0.956, 0.0353, 4002,
20, 0.9,9585, 328, 0.9585, 0.0328, 4917,
21, 0.9,9615, 298, 0.9615, 0.0298, 3996,
22, 0.9,9628, 285, 0.9628, 0.0285, 7997,
23, 0.9,9650, 263, 0.965, 0.0263, 3969,
24, 0.9,9668, 245, 0.9668, 0.0245, 4034,
25, 0.9,9681, 232, 0.9681, 0.0232, 3996,
26, 0.9,9691, 222, 0.9691, 0.0222, 7994,
27, 0.9,9702, 211, 0.9702, 0.0211, 4012,
28, 0.9,9716, 197, 0.9716, 0.0197, 3994,
29, 0.9,9733, 180, 0.9733, 0.018, 8001,
30, 0.9,9740, 173, 0.974, 0.0173, 3994,
31, 0.9,9755, 158, 0.9755, 0.0158, 4019,
32, 0.9,9764, 149, 0.9764, 0.0149, 3998,
33, 0.9,9778, 135, 0.9778, 0.0135, 9061,
34, 0.9,9785, 128, 0.9785, 0.0128, 4036,
35, 0.9,9787, 126, 0.9787, 0.0126, 4000,
36, 0.9,9793, 120, 0.9793, 0.012, 3994,
37, 0.9,9797, 116, 0.9797, 0.0116, 8012,
38, 0.9,9807, 106, 0.9807, 0.0106, 3998,
39, 0.9,9813, 100, 0.9813, 0.01, 7996,
40, 0.9,9820, 93, 0.982, 0.0093, 3995,
41, 0.9,9822, 91, 0.9822, 0.0091, 4005,
42, 0.9,9826, 87, 0.9826, 0.0087, 8001,
43, 0.9,9833, 80, 0.9833, 0.008, 3999,
44, 0.9,9836, 77, 0.9836, 0.0077, 8001,
45, 0.9,9839, 74, 0.9839, 0.0074, 3993,
46, 0.9,9844, 69, 0.9844, 0.0069, 3975,
47, 0.9,9845, 68, 0.9845, 0.0068, 8029,
48, 0.9,9846, 67, 0.9846, 0.0067, 4003,
49, 0.9,9850, 63, 0.985, 0.0063, 8044,
