size, hits, misses, hitRatio, missRatio, 
3, 1169, 8806, 0.1169, 0.8806, 
4, 1565, 8410, 0.1565, 0.841, 
5, 1988, 7987, 0.1988, 0.7987, 
6, 2391, 7584, 0.2391, 0.7584, 
7, 2774, 7201, 0.2774, 0.7201, 
8, 3154, 6821, 0.3154, 0.6821, 
9, 3577, 6398, 0.3577, 0.6398, 
10, 3983, 5992, 0.3983, 0.5992, 
11, 4398, 5577, 0.4398, 0.5577, 
12, 4787, 5188, 0.4787, 0.5188, 
13, 5214, 4761, 0.5214, 0.4761, 
14, 5603, 4372, 0.5603, 0.4372, 
15, 6013, 3962, 0.6013, 0.3962, 
16, 6381, 3594, 0.6381, 0.3594, 
17, 6800, 3175, 0.68, 0.3175, 
18, 7193, 2782, 0.7193, 0.2782, 
19, 7595, 2380, 0.7595, 0.238, 
20, 8006, 1969, 0.8006, 0.1969, 
21, 8376, 1599, 0.8376, 0.1599, 
22, 8784, 1191, 0.8784, 0.1191, 
23, 9162, 813, 0.9162, 0.0813, 
24, 9589, 386, 0.9589, 0.0386, 
25, 9975, 0, 0.9975, 0, 
26, 9975, 0, 0.9975, 0, 
27, 9975, 0, 0.9975, 0, 
28, 9975, 0, 0.9975, 0, 
29, 9975, 0, 0.9975, 0, 
30, 9975, 0, 0.9975, 0, 
31, 9975, 0, 0.9975, 0, 
32, 9975, 0, 0.9975, 0, 
33, 9975, 0, 0.9975, 0, 
34, 9975, 0, 0.9975, 0, 
35, 9975, 0, 0.9975, 0, 
36, 9975, 0, 0.9975, 0, 
37, 9975, 0, 0.9975, 0, 
38, 9975, 0, 0.9975, 0, 
39, 9975, 0, 0.9975, 0, 
40, 9975, 0, 0.9975, 0, 
41, 9975, 0, 0.9975, 0, 
42, 9975, 0, 0.9975, 0, 
43, 9975, 0, 0.9975, 0, 
44, 9975, 0, 0.9975, 0, 
45, 9975, 0, 0.9975, 0, 
46, 9975, 0, 0.9975, 0, 
47, 9975, 0, 0.9975, 0, 
48, 9975, 0, 0.9975, 0, 
49, 9975, 0, 0.9975, 0, 
