size, hits, misses, hitRatio, missRatio, executionTime,
3, 538, 9407, 0.0538, 0.9407, 10995,
4, 720, 9225, 0.072, 0.9225, 10039,
5, 900, 9045, 0.09, 0.9045, 10999,
6, 1075, 8870, 0.1075, 0.887, 12001,
7, 1250, 8695, 0.125, 0.8695, 9998,
8, 1446, 8499, 0.1446, 0.8499, 10002,
9, 1650, 8295, 0.165, 0.8295, 12977,
10, 1810, 8135, 0.181, 0.8135, 9020,
11, 1982, 7963, 0.1982, 0.7963, 9997,
12, 2174, 7771, 0.2174, 0.7771, 10001,
13, 2324, 7621, 0.2324, 0.7621, 9110,
14, 2500, 7445, 0.25, 0.7445, 12925,
15, 2688, 7257, 0.2688, 0.7257, 11001,
16, 2869, 7076, 0.2869, 0.7076, 9969,
17, 3037, 6908, 0.3037, 0.6908, 9031,
18, 3208, 6737, 0.3208, 0.6737, 9000,
19, 3428, 6517, 0.3428, 0.6517, 9975,
20, 3600, 6345, 0.36, 0.6345, 9026,
21, 3792, 6153, 0.3792, 0.6153, 10001,
22, 3942, 6003, 0.3942, 0.6003, 9006,
23, 4135, 5810, 0.4135, 0.581, 9001,
24, 4326, 5619, 0.4326, 0.5619, 8040,
25, 4498, 5447, 0.4498, 0.5447, 10138,
26, 4680, 5265, 0.468, 0.5265, 8042,
27, 4859, 5086, 0.4859, 0.5086, 8042,
28, 5025, 4920, 0.5025, 0.492, 9047,
29, 5201, 4744, 0.5201, 0.4744, 8035,
30, 5400, 4545, 0.54, 0.4545, 7939,
31, 5574, 4371, 0.5574, 0.4371, 8014,
32, 5760, 4185, 0.576, 0.4185, 8011,
33, 5955, 3990, 0.5955, 0.399, 8079,
34, 6142, 3803, 0.6142, 0.3803, 7000,
35, 6347, 3598, 0.6347, 0.3598, 8053,
36, 6526, 3419, 0.6526, 0.3419, 7678,
37, 6689, 3256, 0.6689, 0.3256, 6970,
38, 6874, 3071, 0.6874, 0.3071, 9026,
39, 7081, 2864, 0.7081, 0.2864, 7981,
40, 7253, 2692, 0.7253, 0.2692, 7024,
41, 7453, 2492, 0.7453, 0.2492, 7965,
42, 7598, 2347, 0.7598, 0.2347, 7035,
43, 7805, 2140, 0.7805, 0.214, 5999,
44, 7978, 1967, 0.7978, 0.1967, 7018,
45, 8152, 1793, 0.8152, 0.1793, 5982,
46, 8306, 1639, 0.8306, 0.1639, 7000,
47, 8506, 1439, 0.8506, 0.1439, 6000,
48, 8681, 1264, 0.8681, 0.1264, 6003,
49, 8863, 1082, 0.8863, 0.1082, 6000,
