size, hits, misses, hitRatio, missRatio, executionTime,
3, 4880, 5021, 0.488, 0.5021, 7970,
4, 5528, 4373, 0.5528, 0.4373, 7995,
5, 5977, 3924, 0.5977, 0.3924, 4001,
6, 6275, 3626, 0.6275, 0.3626, 8016,
7, 6556, 3345, 0.6556, 0.3345, 7952,
8, 6788, 3113, 0.6788, 0.3113, 8034,
9, 6988, 2913, 0.6988, 0.2913, 3965,
10, 7142, 2759, 0.7142, 0.2759, 8037,
11, 7281, 2620, 0.7281, 0.262, 7996,
12, 7423, 2478, 0.7423, 0.2478, 4000,
13, 7526, 2375, 0.7526, 0.2375, 7994,
14, 7648, 2253, 0.7648, 0.2253, 4005,
15, 7716, 2185, 0.7716, 0.2185, 8000,
16, 7801, 2100, 0.7801, 0.21, 4003,
17, 7886, 2015, 0.7886, 0.2015, 8042,
18, 7985, 1916, 0.7985, 0.1916, 3994,
19, 8060, 1841, 0.806, 0.1841, 7974,
20, 8137, 1764, 0.8137, 0.1764, 4000,
21, 8189, 1712, 0.8189, 0.1712, 4000,
22, 8241, 1660, 0.8241, 0.166, 8000,
23, 8298, 1603, 0.8298, 0.1603, 3999,
24, 8366, 1535, 0.8366, 0.1535, 7998,
25, 8414, 1487, 0.8414, 0.1487, 3999,
26, 8454, 1447, 0.8454, 0.1447, 4000,
27, 8489, 1412, 0.8489, 0.1412, 8000,
28, 8541, 1360, 0.8541, 0.136, 4000,
29, 8588, 1313, 0.8588, 0.1313, 4037,
30, 8627, 1274, 0.8627, 0.1274, 7994,
31, 8658, 1243, 0.8658, 0.1243, 4004,
32, 8694, 1207, 0.8694, 0.1207, 3995,
33, 8724, 1177, 0.8724, 0.1177, 7988,
34, 8766, 1135, 0.8766, 0.1135, 4037,
35, 8799, 1102, 0.8799, 0.1102, 8036,
36, 8841, 1060, 0.8841, 0.106, 3989,
37, 8863, 1038, 0.8863, 0.1038, 4002,
38, 8890, 1011, 0.889, 0.1011, 3994,
39, 8923, 978, 0.8923, 0.0978, 8003,
40, 8942, 959, 0.8942, 0.0959, 4011,
41, 8962, 939, 0.8962, 0.0939, 3992,
42, 8985, 916, 0.8985, 0.0916, 7994,
43, 9012, 889, 0.9012, 0.0889, 4006,
44, 9047, 854, 0.9047, 0.0854, 3994,
45, 9072, 829, 0.9072, 0.0829, 4006,
46, 9100, 801, 0.91, 0.0801, 7994,
47, 9127, 774, 0.9127, 0.0774, 3978,
48, 9152, 749, 0.9152, 0.0749, 3995,
49, 9172, 729, 0.9172, 0.0729, 8033,
