size, hits, misses, hitRatio, missRatio, 
3, 1177, 8798, 0.1177, 0.8798, 
4, 1585, 8390, 0.1585, 0.839, 
5, 1969, 8006, 0.1969, 0.8006, 
6, 2385, 7590, 0.2385, 0.759, 
7, 2785, 7190, 0.2785, 0.719, 
8, 3174, 6801, 0.3174, 0.6801, 
9, 3579, 6396, 0.3579, 0.6396, 
10, 3963, 6012, 0.3963, 0.6012, 
11, 4350, 5625, 0.435, 0.5625, 
12, 4786, 5189, 0.4786, 0.5189, 
13, 5173, 4802, 0.5173, 0.4802, 
14, 5586, 4389, 0.5586, 0.4389, 
15, 5998, 3977, 0.5998, 0.3977, 
16, 6373, 3602, 0.6373, 0.3602, 
17, 6795, 3180, 0.6795, 0.318, 
18, 7216, 2759, 0.7216, 0.2759, 
19, 7597, 2378, 0.7597, 0.2378, 
20, 7983, 1992, 0.7983, 0.1992, 
21, 8379, 1596, 0.8379, 0.1596, 
22, 8800, 1175, 0.88, 0.1175, 
23, 9170, 805, 0.917, 0.0805, 
24, 9545, 430, 0.9545, 0.043, 
25, 9975, 0, 0.9975, 0, 
26, 9975, 0, 0.9975, 0, 
27, 9975, 0, 0.9975, 0, 
28, 9975, 0, 0.9975, 0, 
29, 9975, 0, 0.9975, 0, 
30, 9975, 0, 0.9975, 0, 
31, 9975, 0, 0.9975, 0, 
32, 9975, 0, 0.9975, 0, 
33, 9975, 0, 0.9975, 0, 
34, 9975, 0, 0.9975, 0, 
35, 9975, 0, 0.9975, 0, 
36, 9975, 0, 0.9975, 0, 
37, 9975, 0, 0.9975, 0, 
38, 9975, 0, 0.9975, 0, 
39, 9975, 0, 0.9975, 0, 
40, 9975, 0, 0.9975, 0, 
41, 9975, 0, 0.9975, 0, 
42, 9975, 0, 0.9975, 0, 
43, 9975, 0, 0.9975, 0, 
44, 9975, 0, 0.9975, 0, 
45, 9975, 0, 0.9975, 0, 
46, 9975, 0, 0.9975, 0, 
47, 9975, 0, 0.9975, 0, 
48, 9975, 0, 0.9975, 0, 
49, 9975, 0, 0.9975, 0, 
