size, hits, misses, hitRatio, missRatio, executionTime, 
3, 409, 9516, 0.0409, 0.9516, 11999, 
4, 542, 9383, 0.0542, 0.9383, 12035, 
5, 680, 9245, 0.068, 0.9245, 11003, 
6, 800, 9125, 0.08, 0.9125, 10999, 
7, 932, 8993, 0.0932, 0.8993, 12993, 
8, 1055, 8870, 0.1055, 0.887, 11006, 
9, 1179, 8746, 0.1179, 0.8746, 10965, 
10, 1323, 8602, 0.1323, 0.8602, 11034, 
11, 1446, 8479, 0.1446, 0.8479, 10977, 
12, 1571, 8354, 0.1571, 0.8354, 11023, 
13, 1703, 8222, 0.1703, 0.8222, 10001, 
14, 1842, 8083, 0.1842, 0.8083, 11002, 
15, 1981, 7944, 0.1981, 0.7944, 9981, 
16, 2098, 7827, 0.2098, 0.7827, 11006, 
17, 2220, 7705, 0.222, 0.7705, 10001, 
18, 2363, 7562, 0.2363, 0.7562, 9003, 
19, 2512, 7413, 0.2512, 0.7413, 10995, 
20, 2644, 7281, 0.2644, 0.7281, 9994, 
21, 2770, 7155, 0.277, 0.7155, 10006, 
22, 2894, 7031, 0.2894, 0.7031, 10000, 
23, 3020, 6905, 0.302, 0.6905, 9996, 
24, 3142, 6783, 0.3142, 0.6783, 10004, 
25, 3286, 6639, 0.3286, 0.6639, 11965, 
26, 3433, 6492, 0.3433, 0.6492, 12033, 
27, 3573, 6352, 0.3573, 0.6352, 10002, 
28, 3700, 6225, 0.37, 0.6225, 10000, 
29, 3839, 6086, 0.3839, 0.6086, 9000, 
30, 3978, 5947, 0.3978, 0.5947, 8965, 
31, 4116, 5809, 0.4116, 0.5809, 9035, 
32, 4246, 5679, 0.4246, 0.5679, 10002, 
33, 4382, 5543, 0.4382, 0.5543, 9002, 
34, 4519, 5406, 0.4519, 0.5406, 8996, 
35, 4663, 5262, 0.4663, 0.5262, 8000, 
36, 4794, 5131, 0.4794, 0.5131, 9000, 
37, 4931, 4994, 0.4931, 0.4994, 9000, 
38, 5077, 4848, 0.5077, 0.4848, 8000, 
39, 5204, 4721, 0.5204, 0.4721, 7994, 
40, 5344, 4581, 0.5344, 0.4581, 10006, 
41, 5491, 4434, 0.5491, 0.4434, 8000, 
42, 5627, 4298, 0.5627, 0.4298, 8967, 
43, 5739, 4186, 0.5739, 0.4186, 9000, 
44, 5877, 4048, 0.5877, 0.4048, 9025, 
45, 6002, 3923, 0.6002, 0.3923, 7641, 
46, 6118, 3807, 0.6118, 0.3807, 8980, 
47, 6257, 3668, 0.6257, 0.3668, 7990, 
48, 6384, 3541, 0.6384, 0.3541, 8002, 
49, 6525, 3400, 0.6525, 0.34, 7001, 
