size, hits, misses, hitRatio, missRatio, executionTime, 
3, 1770, 8131, 0.177, 0.8131, 11969, 
4, 2202, 7699, 0.2202, 0.7699, 8033, 
5, 2594, 7307, 0.2594, 0.7307, 12002, 
6, 2944, 6957, 0.2944, 0.6957, 8043, 
7, 3235, 6666, 0.3235, 0.6666, 12006, 
8, 3493, 6408, 0.3493, 0.6408, 7995, 
9, 3696, 6205, 0.3696, 0.6205, 7999, 
10, 3917, 5984, 0.3917, 0.5984, 11967, 
11, 4120, 5781, 0.412, 0.5781, 8000, 
12, 4291, 5610, 0.4291, 0.561, 7999, 
13, 4469, 5432, 0.4469, 0.5432, 12005, 
14, 4634, 5267, 0.4634, 0.5267, 7997, 
15, 4770, 5131, 0.477, 0.5131, 7998, 
16, 4905, 4996, 0.4905, 0.4996, 8002, 
17, 5018, 4883, 0.5018, 0.4883, 8012, 
18, 5145, 4756, 0.5145, 0.4756, 8000, 
19, 5277, 4624, 0.5277, 0.4624, 7999, 
20, 5375, 4526, 0.5375, 0.4526, 8001, 
21, 5482, 4419, 0.5482, 0.4419, 7999, 
22, 5602, 4299, 0.5602, 0.4299, 8001, 
23, 5722, 4179, 0.5722, 0.4179, 8000, 
24, 5810, 4091, 0.581, 0.4091, 7999, 
25, 5890, 4011, 0.589, 0.4011, 8000, 
26, 5969, 3932, 0.5969, 0.3932, 4001, 
27, 6025, 3876, 0.6025, 0.3876, 8004, 
28, 6110, 3791, 0.611, 0.3791, 8000, 
29, 6197, 3704, 0.6197, 0.3704, 7185, 
30, 6269, 3632, 0.6269, 0.3632, 4025, 
31, 6343, 3558, 0.6343, 0.3558, 7964, 
32, 6421, 3480, 0.6421, 0.348, 8035, 
33, 6502, 3399, 0.6502, 0.3399, 7999, 
34, 6583, 3318, 0.6583, 0.3318, 7993, 
35, 6653, 3248, 0.6653, 0.3248, 4000, 
36, 6731, 3170, 0.6731, 0.317, 8006, 
37, 6799, 3102, 0.6799, 0.3102, 8000, 
38, 6864, 3037, 0.6864, 0.3037, 4000, 
39, 6937, 2964, 0.6937, 0.2964, 7994, 
40, 7012, 2889, 0.7012, 0.2889, 8001, 
41, 7074, 2827, 0.7074, 0.2827, 3999, 
42, 7136, 2765, 0.7136, 0.2765, 11979, 
43, 7195, 2706, 0.7195, 0.2706, 7999, 
44, 7258, 2643, 0.7258, 0.2643, 7998, 
45, 7321, 2580, 0.7321, 0.258, 4004, 
46, 7366, 2535, 0.7366, 0.2535, 9094, 
47, 7422, 2479, 0.7422, 0.2479, 7995, 
48, 7491, 2410, 0.7491, 0.241, 4003, 
49, 7553, 2348, 0.7553, 0.2348, 7991, 
