size, hits, misses, hitRatio, missRatio, 
3, 1185, 8790, 0.1185, 0.879, 
4, 1598, 8377, 0.1598, 0.8377, 
5, 1939, 8036, 0.1939, 0.8036, 
6, 2406, 7569, 0.2406, 0.7569, 
7, 2784, 7191, 0.2784, 0.7191, 
8, 3161, 6814, 0.3161, 0.6814, 
9, 3545, 6430, 0.3545, 0.643, 
10, 3986, 5989, 0.3986, 0.5989, 
11, 4380, 5595, 0.438, 0.5595, 
12, 4782, 5193, 0.4782, 0.5193, 
13, 5242, 4733, 0.5242, 0.4733, 
14, 5634, 4341, 0.5634, 0.4341, 
15, 6036, 3939, 0.6036, 0.3939, 
16, 6413, 3562, 0.6413, 0.3562, 
17, 6739, 3236, 0.6739, 0.3236, 
18, 7138, 2837, 0.7138, 0.2837, 
19, 7556, 2419, 0.7556, 0.2419, 
20, 7923, 2052, 0.7923, 0.2052, 
21, 8375, 1600, 0.8375, 0.16, 
22, 8780, 1195, 0.878, 0.1195, 
23, 9165, 810, 0.9165, 0.081, 
24, 9584, 391, 0.9584, 0.0391, 
25, 9975, 0, 0.9975, 0, 
26, 9975, 0, 0.9975, 0, 
27, 9975, 0, 0.9975, 0, 
28, 9975, 0, 0.9975, 0, 
29, 9975, 0, 0.9975, 0, 
30, 9975, 0, 0.9975, 0, 
31, 9975, 0, 0.9975, 0, 
32, 9975, 0, 0.9975, 0, 
33, 9975, 0, 0.9975, 0, 
34, 9975, 0, 0.9975, 0, 
35, 9975, 0, 0.9975, 0, 
36, 9975, 0, 0.9975, 0, 
37, 9975, 0, 0.9975, 0, 
38, 9975, 0, 0.9975, 0, 
39, 9975, 0, 0.9975, 0, 
40, 9975, 0, 0.9975, 0, 
41, 9975, 0, 0.9975, 0, 
42, 9975, 0, 0.9975, 0, 
43, 9975, 0, 0.9975, 0, 
44, 9975, 0, 0.9975, 0, 
45, 9975, 0, 0.9975, 0, 
46, 9975, 0, 0.9975, 0, 
47, 9975, 0, 0.9975, 0, 
48, 9975, 0, 0.9975, 0, 
49, 9975, 0, 0.9975, 0, 
