size, hits, misses, hitRatio, missRatio, executionTime,
3, 416, 9509, 0.0416, 0.9509, 12999,
4, 537, 9388, 0.0537, 0.9388, 11999,
5, 659, 9266, 0.0659, 0.9266, 12000,
6, 822, 9103, 0.0822, 0.9103, 14036,
7, 975, 8950, 0.0975, 0.895, 13965,
8, 1100, 8825, 0.11, 0.8825, 14000,
9, 1235, 8690, 0.1235, 0.869, 12001,
10, 1330, 8595, 0.133, 0.8595, 12998,
11, 1457, 8468, 0.1457, 0.8468, 13000,
12, 1626, 8299, 0.1626, 0.8299, 14000,
13, 1746, 8179, 0.1746, 0.8179, 13000,
14, 1887, 8038, 0.1887, 0.8038, 13000,
15, 1999, 7926, 0.1999, 0.7926, 13000,
16, 2163, 7762, 0.2163, 0.7762, 15006,
17, 2282, 7643, 0.2282, 0.7643, 13994,
18, 2448, 7477, 0.2448, 0.7477, 13000,
19, 2575, 7350, 0.2575, 0.735, 14000,
20, 2672, 7253, 0.2672, 0.7253, 14000,
21, 2801, 7124, 0.2801, 0.7124, 14000,
22, 2952, 6973, 0.2952, 0.6973, 14000,
23, 3085, 6840, 0.3085, 0.684, 14001,
24, 3201, 6724, 0.3201, 0.6724, 13999,
25, 3311, 6614, 0.3311, 0.6614, 14002,
26, 3471, 6454, 0.3471, 0.6454, 17000,
27, 3640, 6285, 0.364, 0.6285, 14999,
28, 3750, 6175, 0.375, 0.6175, 13999,
29, 3846, 6079, 0.3846, 0.6079, 15002,
30, 4005, 5920, 0.4005, 0.592, 13999,
31, 4108, 5817, 0.4108, 0.5817, 14001,
32, 4227, 5698, 0.4227, 0.5698, 15999,
33, 4374, 5551, 0.4374, 0.5551, 16001,
34, 4483, 5442, 0.4483, 0.5442, 14999,
35, 4674, 5251, 0.4674, 0.5251, 14025,
36, 4800, 5125, 0.48, 0.5125, 14977,
37, 4886, 5039, 0.4886, 0.5039, 14996,
38, 5022, 4903, 0.5022, 0.4903, 14000,
39, 5193, 4732, 0.5193, 0.4732, 15001,
40, 5310, 4615, 0.531, 0.4615, 15033,
41, 5407, 4518, 0.5407, 0.4518, 15969,
42, 5539, 4386, 0.5539, 0.4386, 16030,
43, 5710, 4215, 0.571, 0.4215, 17004,
44, 5872, 4053, 0.5872, 0.4053, 15965,
45, 5942, 3983, 0.5942, 0.3983, 15030,
46, 6190, 3735, 0.619, 0.3735, 17005,
47, 6220, 3705, 0.622, 0.3705, 14997,
48, 6358, 3567, 0.6358, 0.3567, 15003,
49, 6454, 3471, 0.6454, 0.3471, 15003,
