size, hits, misses, hitRatio, missRatio, executionTime,
3, 5406, 4495, 0.5406, 0.4495, 21152,
4, 6040, 3861, 0.604, 0.3861, 11991,
5, 6456, 3445, 0.6456, 0.3445, 8713,
6, 6625, 3276, 0.6625, 0.3276, 7993,
7, 6974, 2927, 0.6974, 0.2927, 7973,
8, 7186, 2715, 0.7186, 0.2715, 7995,
9, 7339, 2562, 0.7339, 0.2562, 8001,
10, 7464, 2437, 0.7464, 0.2437, 7999,
11, 7585, 2316, 0.7585, 0.2316, 8000,
12, 7692, 2209, 0.7692, 0.2209, 7999,
13, 7815, 2086, 0.7815, 0.2086, 7999,
14, 7880, 2021, 0.788, 0.2021, 8014,
15, 7934, 1967, 0.7934, 0.1967, 8000,
16, 8044, 1857, 0.8044, 0.1857, 8001,
17, 8096, 1805, 0.8096, 0.1805, 8002,
18, 8158, 1743, 0.8158, 0.1743, 12001,
19, 8236, 1665, 0.8236, 0.1665, 7999,
20, 8295, 1606, 0.8295, 0.1606, 7998,
21, 8340, 1561, 0.834, 0.1561, 7999,
22, 8379, 1522, 0.8379, 0.1522, 8001,
23, 8412, 1489, 0.8412, 0.1489, 12000,
24, 8441, 1460, 0.8441, 0.146, 7999,
25, 8575, 1326, 0.8575, 0.1326, 8059,
26, 8606, 1295, 0.8606, 0.1295, 9571,
27, 8622, 1279, 0.8622, 0.1279, 8057,
28, 8654, 1247, 0.8654, 0.1247, 10136,
29, 8673, 1228, 0.8673, 0.1228, 11929,
30, 8709, 1192, 0.8709, 0.1192, 8006,
31, 8736, 1165, 0.8736, 0.1165, 8001,
32, 8766, 1135, 0.8766, 0.1135, 11972,
33, 8799, 1102, 0.8799, 0.1102, 11997,
34, 8832, 1069, 0.8832, 0.1069, 12008,
35, 8853, 1048, 0.8853, 0.1048, 7988,
36, 8877, 1024, 0.8877, 0.1024, 12012,
37, 8935, 966, 0.8935, 0.0966, 12001,
38, 8952, 949, 0.8952, 0.0949, 7999,
39, 8976, 925, 0.8976, 0.0925, 12003,
40, 8991, 910, 0.8991, 0.091, 12002,
41, 9026, 875, 0.9026, 0.0875, 11996,
42, 9042, 859, 0.9042, 0.0859, 15998,
43, 9066, 835, 0.9066, 0.0835, 12000,
44, 9090, 811, 0.909, 0.0811, 12002,
45, 9117, 784, 0.9117, 0.0784, 11510,
46, 9135, 766, 0.9135, 0.0766, 16814,
47, 9149, 752, 0.9149, 0.0752, 12003,
48, 9161, 740, 0.9161, 0.074, 12000,
49, 9178, 723, 0.9178, 0.0723, 16000,
