size, window,hits, misses, hitRatio, missRatio, executionTime,
3, 4,1405, 8496, 0.1405, 0.8496, 11968,
4, 4,1735, 8166, 0.1735, 0.8166, 11999,
5, 4,2056, 7845, 0.2056, 0.7845, 12004,
6, 4,2342, 7559, 0.2342, 0.7559, 7996,
7, 4,2585, 7316, 0.2585, 0.7316, 11999,
8, 4,2836, 7065, 0.2836, 0.7065, 11997,
9, 4,3101, 6800, 0.3101, 0.68, 8000,
10, 4,3321, 6580, 0.3321, 0.658, 8000,
11, 4,3523, 6378, 0.3523, 0.6378, 12003,
12, 4,3686, 6215, 0.3686, 0.6215, 11562,
13, 4,3834, 6067, 0.3834, 0.6067, 7944,
14, 4,3994, 5907, 0.3994, 0.5907, 7999,
15, 4,4150, 5751, 0.415, 0.5751, 12040,
16, 4,4289, 5612, 0.4289, 0.5612, 7998,
17, 4,4427, 5474, 0.4427, 0.5474, 8003,
18, 4,4542, 5359, 0.4542, 0.5359, 12000,
19, 4,4662, 5239, 0.4662, 0.5239, 7996,
20, 4,4795, 5106, 0.4795, 0.5106, 8005,
21, 4,4905, 4996, 0.4905, 0.4996, 7989,
22, 4,5003, 4898, 0.5003, 0.4898, 8000,
23, 4,5110, 4791, 0.511, 0.4791, 8587,
24, 4,5212, 4689, 0.5212, 0.4689, 11949,
25, 4,5317, 4584, 0.5317, 0.4584, 7998,
26, 4,5421, 4480, 0.5421, 0.448, 8002,
27, 4,5524, 4377, 0.5524, 0.4377, 7999,
28, 4,5611, 4290, 0.5611, 0.429, 8028,
29, 4,5703, 4198, 0.5703, 0.4198, 7999,
30, 4,5792, 4109, 0.5792, 0.4109, 7999,
31, 4,5877, 4024, 0.5877, 0.4024, 8002,
32, 4,5969, 3932, 0.5969, 0.3932, 8006,
33, 4,6057, 3844, 0.6057, 0.3844, 7992,
34, 4,6129, 3772, 0.6129, 0.3772, 8001,
35, 4,6212, 3689, 0.6212, 0.3689, 8062,
36, 4,6299, 3602, 0.6299, 0.3602, 8001,
37, 4,6374, 3527, 0.6374, 0.3527, 4000,
38, 4,6455, 3446, 0.6455, 0.3446, 12007,
39, 4,6546, 3355, 0.6546, 0.3355, 12173,
40, 4,6623, 3278, 0.6623, 0.3278, 11998,
41, 4,6704, 3197, 0.6704, 0.3197, 7998,
42, 4,6774, 3127, 0.6774, 0.3127, 8000,
43, 4,6823, 3078, 0.6823, 0.3078, 16036,
44, 4,6892, 3009, 0.6892, 0.3009, 8007,
45, 4,6965, 2936, 0.6965, 0.2936, 8027,
46, 4,7027, 2874, 0.7027, 0.2874, 8010,
47, 4,7084, 2817, 0.7084, 0.2817, 4008,
48, 4,7141, 2760, 0.7141, 0.276, 8001,
49, 4,7211, 2690, 0.7211, 0.269, 7991,
